epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.922160,0.277743,0.269383,0.758434,0.498525,0.341969
2,0.789194,0.362080,0.349568,0.752055,0.495575,0.464615
3,0.725144,0.398859,0.401252,0.622202,0.563422,0.465493
4,0.650435,0.396322,0.398102,0.587060,0.551622,0.467530
5,0.560393,0.408370,0.405947,0.657042,0.513274,0.479235
6,0.602001,0.371592,0.372361,0.781789,0.418879,0.402426
7,0.530008,0.399493,0.400197,0.600596,0.557522,0.462227
8,0.535330,0.382372,0.382288,0.606155,0.510324,0.514340
9,0.448706,0.470514,0.470567,0.576880,0.563422,0.492212
10,0.433757,0.500951,0.500226,0.609443,0.542773,0.510850
11,0.449940,0.565631,0.564473,0.723696,0.442478,0.442787
12,0.387420,0.547242,0.545622,0.656218,0.533923,0.484501
13,0.417982,0.489537,0.486759,0.658336,0.519174,0.475499
14,0.427924,0.467977,0.468716,0.683184,0.460177,0.446791
