epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.915037,0.291059,0.279097,0.796111,0.415929,0.368794
2,0.756387,0.372226,0.359917,0.695497,0.448378,0.417976
3,0.684636,0.434369,0.436613,0.586164,0.545723,0.470823
4,0.609429,0.417248,0.419617,0.631101,0.480826,0.472541
5,0.507374,0.450222,0.448335,0.695034,0.415929,0.437196
6,0.549373,0.395054,0.394729,0.632033,0.471976,0.465034
7,0.480750,0.414711,0.415542,0.517874,0.613569,0.494759
8,0.500131,0.393786,0.393141,0.594449,0.510324,0.488925
9,0.407622,0.497146,0.497532,0.486397,0.637168,0.526365
10,0.387654,0.537096,0.536688,0.493267,0.657817,0.518380
11,0.414587,0.590996,0.589978,0.559049,0.560472,0.503864
12,0.343408,0.566899,0.565228,0.531608,0.619469,0.513328
13,0.378754,0.517438,0.515119,0.522866,0.616519,0.513744
14,0.381755,0.497781,0.497608,0.550448,0.607670,0.512768
15,0.423047,0.584020,0.581268,0.512234,0.660767,0.519130
